iter	Passed	Remaining
0	55	55629
1	56	28050
2	56	18868
3	57	14242
4	57	11433
5	58	9621
6	58	8318
7	59	7340
8	59	6578
9	60	5972
10	60	5475
11	61	5073
12	62	4726
13	62	4423
14	63	4157
15	63	3923
16	64	3723
17	64	3542
18	65	3380
19	65	3231
20	66	3104
21	67	2990
22	67	2884
23	68	2782
24	68	2688
25	69	2604
26	70	2525
27	70	2455
28	71	2388
29	71	2324
30	72	2271
31	73	2218
32	73	2167
33	74	2114
34	74	2061
35	75	2018
36	75	1974
37	76	1933
38	76	1894
39	77	1858
40	78	1824
41	78	1792
42	79	1761
43	79	1729
44	80	1700
45	80	1674
46	81	1651
47	82	1626
48	82	1604
49	83	1582
50	84	1563
51	84	1543
52	85	1522
53	85	1498
54	86	1480
55	86	1461
56	87	1443
57	87	1422
58	88	1405
59	88	1389
60	89	1371
61	89	1356
62	90	1341
63	90	1327
64	91	1313
65	91	1299
66	92	1286
67	92	1274
68	93	1263
69	94	1250
70	94	1239
71	95	1229
72	96	1219
73	96	1210
74	97	1200
75	97	1188
76	98	1178
77	98	1168
78	99	1159
79	99	1149
80	100	1139
81	100	1128
82	101	1120
83	102	1112
84	102	1106
85	103	1098
86	103	1089
87	104	1081
88	104	1071
89	105	1064
90	105	1057
91	106	1052
92	107	1047
93	108	1045
94	109	1039
95	109	1033
96	110	1027
97	111	1022
98	111	1016
99	112	1011
100	112	1003
101	113	998
102	113	992
103	114	986
104	114	978
105	115	971
106	115	966
107	116	961
108	117	957
109	117	952
110	118	947
111	119	946
112	120	942
113	120	937
114	121	933
115	122	931
116	123	928
117	123	924
118	124	920
119	125	916
120	125	912
121	126	909
122	127	908
123	128	904
124	128	900
125	129	896
126	129	893
127	130	889
128	131	886
129	131	881
130	132	877
131	132	874
132	133	870
133	134	866
134	134	862
135	135	858
136	135	854
137	136	851
138	136	848
139	137	844
140	138	840
141	138	837
142	139	833
143	139	831
144	140	826
145	140	823
146	141	820
147	142	817
148	142	814
149	143	810
150	143	807
151	144	805
152	144	802
153	145	799
154	146	796
155	146	793
156	147	790
157	147	787
158	148	785
159	149	784
160	149	780
161	150	777
162	150	774
163	151	771
164	151	769
165	152	766
166	153	763
167	153	760
168	154	757
169	154	755
170	155	752
171	155	749
172	156	748
173	157	746
174	157	744
175	158	741
176	158	738
177	159	736
178	160	734
179	160	732
180	161	730
181	161	727
182	162	725
183	163	723
184	163	721
185	164	718
186	164	716
187	165	714
188	165	712
189	166	710
190	167	708
191	167	706
192	168	704
193	168	701
194	169	700
195	170	698
196	170	696
197	171	694
198	172	692
199	172	690
200	173	688
201	173	686
202	174	684
203	174	682
204	175	680
205	176	678
206	176	676
207	177	674
208	177	672
209	178	670
210	178	669
211	179	668
212	180	667
213	181	665
214	181	664
215	182	662
216	183	660
217	183	658
218	184	656
219	184	655
220	185	653
221	185	651
222	186	650
223	187	648
224	187	647
225	188	645
226	189	643
227	189	642
228	190	640
229	190	639
230	191	638
231	192	636
232	192	634
233	193	633
234	193	631
235	194	630
236	195	628
237	195	626
238	196	625
239	196	623
240	197	622
241	197	620
242	198	618
243	199	616
244	199	615
245	200	613
246	200	611
247	201	610
248	201	608
249	202	606
250	202	605
251	203	603
252	203	602
253	204	600
254	205	599
255	205	597
256	206	596
257	206	594
258	207	592
259	207	591
260	208	590
261	209	589
262	209	587
263	210	586
264	210	584
265	211	583
266	211	581
267	212	580
268	212	578
269	213	577
270	213	575
271	214	574
272	215	573
273	215	571
274	216	570
275	217	569
276	217	568
277	218	566
278	218	565
279	219	564
280	219	562
281	220	561
282	220	559
283	221	558
284	222	557
285	222	556
286	223	554
287	223	553
288	224	552
289	224	550
290	225	549
291	225	547
292	226	547
293	227	546
294	228	545
295	229	544
296	229	543
297	230	542
298	230	541
299	231	539
300	232	538
301	234	540
302	234	539
303	235	538
304	235	537
305	236	535
306	236	534
307	237	533
308	238	532
309	238	531
310	239	530
311	240	529
312	240	528
313	241	527
314	241	526
315	242	524
316	243	523
317	243	522
318	244	521
319	244	519
320	245	518
321	245	517
322	246	516
323	247	515
324	247	514
325	248	513
326	248	511
327	249	510
328	249	509
329	250	508
330	250	507
331	251	505
332	251	504
333	252	503
334	253	502
335	253	501
336	254	499
337	254	498
338	255	497
339	255	496
340	256	494
341	256	493
342	257	492
343	257	491
344	258	490
345	258	488
346	259	487
347	259	486
348	260	485
349	260	484
350	261	483
351	261	481
352	262	481
353	263	480
354	263	479
355	264	477
356	264	476
357	265	475
358	265	474
359	266	473
360	266	472
361	267	471
362	267	470
363	268	468
364	268	467
365	269	467
366	270	466
367	270	465
368	271	463
369	271	462
370	272	461
371	272	460
372	273	459
373	273	458
374	274	457
375	274	455
376	275	454
377	275	453
378	276	452
379	276	451
380	277	450
381	278	449
382	278	448
383	279	447
384	279	446
385	280	445
386	280	444
387	281	443
388	281	442
389	282	441
390	282	440
391	283	439
392	283	438
393	284	437
394	284	436
395	285	435
396	286	434
397	286	433
398	287	432
399	287	431
400	288	430
401	288	429
402	289	428
403	289	427
404	290	426
405	291	425
406	291	424
407	292	423
408	292	422
409	293	421
410	293	420
411	294	420
412	295	419
413	295	418
414	296	417
415	296	416
416	297	415
417	297	414
418	298	413
419	298	412
420	299	411
421	300	411
422	301	410
423	301	409
424	302	408
425	302	407
426	303	406
427	303	405
428	304	405
429	305	404
430	305	403
431	306	402
432	306	401
433	307	400
434	307	399
435	308	399
436	309	398
437	309	397
438	310	396
439	310	395
440	311	394
441	312	394
442	312	393
443	313	392
444	314	391
445	314	391
446	315	390
447	316	389
448	317	389
449	317	388
450	318	387
451	318	386
452	319	385
453	319	384
454	320	383
455	321	383
456	322	383
457	323	382
458	323	381
459	324	380
460	325	380
461	325	379
462	326	378
463	326	377
464	327	376
465	327	375
466	328	374
467	328	373
468	329	372
469	329	371
470	329	370
471	330	369
472	330	368
473	331	367
474	332	367
475	332	366
476	333	365
477	333	364
478	334	363
479	334	362
480	335	361
481	335	360
482	336	359
483	336	359
484	337	358
485	337	357
486	338	356
487	338	355
488	339	354
489	339	353
490	340	352
491	340	351
492	341	351
493	341	350
494	342	349
495	343	348
496	343	347
497	344	347
498	345	346
499	345	345
500	346	344
501	346	343
502	347	343
503	347	342
504	348	341
505	348	340
506	349	339
507	349	338
508	350	338
509	350	337
510	351	336
511	352	335
512	353	335
513	353	334
514	354	333
515	354	332
516	355	331
517	355	330
518	356	330
519	356	329
520	357	328
521	357	327
522	358	326
523	358	325
524	359	325
525	359	324
526	360	323
527	360	322
528	361	321
529	361	320
530	362	320
531	363	319
532	363	318
533	364	317
534	364	316
535	365	316
536	365	315
537	366	314
538	367	314
539	368	313
540	368	313
541	369	312
542	369	311
543	370	310
544	370	309
545	371	308
546	371	308
547	372	307
548	372	306
549	373	305
550	374	304
551	374	304
552	375	303
553	375	302
554	376	301
555	376	300
556	377	300
557	377	299
558	378	298
559	378	297
560	379	296
561	380	296
562	380	295
563	381	294
564	381	293
565	382	293
566	382	292
567	383	291
568	383	290
569	384	289
570	384	289
571	385	288
572	386	287
573	386	287
574	387	286
575	387	285
576	388	284
577	388	283
578	389	283
579	390	282
580	390	281
581	391	281
582	392	280
583	392	279
584	393	278
585	393	278
586	394	277
587	395	276
588	395	276
589	396	275
590	396	274
591	397	273
592	397	272
593	398	272
594	398	271
595	399	270
596	399	269
597	400	268
598	400	268
599	401	267
600	401	266
601	402	265
602	402	265
603	403	264
604	403	263
605	404	262
606	404	261
607	405	261
608	405	260
609	406	259
610	407	259
611	407	258
612	408	257
613	408	257
614	409	256
615	410	255
616	410	255
617	411	254
618	411	253
619	412	252
620	412	252
621	413	251
622	413	250
623	414	249
624	414	248
625	415	248
626	416	247
627	416	246
628	417	246
629	417	245
630	418	244
631	418	243
632	419	243
633	420	242
634	420	241
635	421	240
636	421	240
637	422	239
638	422	238
639	423	238
640	423	237
641	424	236
642	424	235
643	425	235
644	425	234
645	426	233
646	426	232
647	427	232
648	427	231
649	428	230
650	428	229
651	429	229
652	429	228
653	430	227
654	430	226
655	431	226
656	431	225
657	432	224
658	432	223
659	433	223
660	433	222
661	434	221
662	434	221
663	435	220
664	435	219
665	436	218
666	436	218
667	437	217
668	437	216
669	438	215
670	438	215
671	439	214
672	439	213
673	440	212
674	440	212
675	441	211
676	441	210
677	442	210
678	442	209
679	443	208
680	443	207
681	444	207
682	445	206
683	446	206
684	446	205
685	447	204
686	447	204
687	448	203
688	449	202
689	449	202
690	450	201
691	451	200
692	451	200
693	452	199
694	452	198
695	453	197
696	453	197
697	454	196
698	454	195
699	455	195
700	455	194
701	456	193
702	456	192
703	457	192
704	457	191
705	458	190
706	459	190
707	459	189
708	460	188
709	460	188
710	461	187
711	462	186
712	462	186
713	463	185
714	463	184
715	464	184
716	464	183
717	465	182
718	465	182
719	466	181
720	466	180
721	467	179
722	467	179
723	468	178
724	468	177
725	469	177
726	469	176
727	470	175
728	470	175
729	471	174
730	472	173
731	472	173
732	473	172
733	473	171
734	474	171
735	475	170
736	475	169
737	476	169
738	476	168
739	477	167
740	477	166
741	478	166
742	478	165
743	479	164
744	479	164
745	480	163
746	481	162
747	481	162
748	482	161
749	482	160
750	483	160
751	483	159
752	484	158
753	485	158
754	485	157
755	486	157
756	487	156
757	487	155
758	488	154
759	488	154
760	489	153
761	489	152
762	490	152
763	490	151
764	491	150
765	492	150
766	492	149
767	493	149
768	493	148
769	494	147
770	494	146
771	495	146
772	495	145
773	496	144
774	496	144
775	497	143
776	497	142
777	498	142
778	498	141
779	499	140
780	499	140
781	500	139
782	500	138
783	501	138
784	501	137
785	502	136
786	502	136
787	503	135
788	503	134
789	504	134
790	504	133
791	505	132
792	505	132
793	506	131
794	507	130
795	507	130
796	508	129
797	508	128
798	509	128
799	510	127
800	510	126
801	511	126
802	511	125
803	512	124
804	513	124
805	513	123
806	514	122
807	514	122
808	515	121
809	516	121
810	516	120
811	517	119
812	517	119
813	518	118
814	518	117
815	519	117
816	519	116
817	520	115
818	520	115
819	521	114
820	521	113
821	522	113
822	522	112
823	523	111
824	523	111
825	524	110
826	524	109
827	525	109
828	525	108
829	526	107
830	526	107
831	527	106
832	527	105
833	528	105
834	528	104
835	529	103
836	529	103
837	530	102
838	530	101
839	531	101
840	531	100
841	532	99
842	533	99
843	533	98
844	534	97
845	534	97
846	535	96
847	535	96
848	536	95
849	536	94
850	537	94
851	537	93
852	538	92
853	538	92
854	539	91
855	539	90
856	540	90
857	541	89
858	541	88
859	542	88
860	543	87
861	543	87
862	544	86
863	545	85
864	545	85
865	546	84
866	546	83
867	547	83
868	547	82
869	548	81
870	549	81
871	549	80
872	550	80
873	550	79
874	551	78
875	552	78
876	553	77
877	553	76
878	554	76
879	554	75
880	555	74
881	555	74
882	556	73
883	556	73
884	557	72
885	557	71
886	558	71
887	558	70
888	559	69
889	559	69
890	560	68
891	560	67
892	561	67
893	561	66
894	562	65
895	562	65
896	563	64
897	563	64
898	564	63
899	565	62
900	565	62
901	566	61
902	566	60
903	567	60
904	567	59
905	568	58
906	568	58
907	569	57
908	569	57
909	570	56
910	571	55
911	571	55
912	572	54
913	572	53
914	573	53
915	573	52
916	574	51
917	574	51
918	575	50
919	575	50
920	576	49
921	576	48
922	577	48
923	577	47
924	578	46
925	579	46
926	579	45
927	580	45
928	580	44
929	581	43
930	581	43
931	582	42
932	583	41
933	584	41
934	584	40
935	585	40
936	585	39
937	586	38
938	586	38
939	587	37
940	587	36
941	588	36
942	588	35
943	589	34
944	589	34
945	590	33
946	590	33
947	591	32
948	591	31
949	592	31
950	592	30
951	593	29
952	593	29
953	594	28
954	595	28
955	595	27
956	595	26
957	596	26
958	596	25
959	597	24
960	597	24
961	598	23
962	598	23
963	599	22
964	599	21
965	600	21
966	600	20
967	601	19
968	601	19
969	602	18
970	602	18
971	603	17
972	603	16
973	604	16
974	604	15
975	605	14
976	605	14
977	606	13
978	606	13
979	607	12
980	607	11
981	608	11
982	609	10
983	609	9
984	610	9
985	610	8
986	611	8
987	611	7
988	612	6
989	612	6
990	613	5
991	614	4
992	614	4
993	615	3
994	615	3
995	616	2
996	617	1
997	617	1
998	618	0
999	618	0
